DonorZipCode,County,TransactionAmount
90005,Los Angeles,350
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,-500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,2000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,2750
90005,Los Angeles,4100
90005,Los Angeles,5000
90005,Los Angeles,2000
90005,Los Angeles,250
90005,Los Angeles,6800
90005,Los Angeles,2000
90005,Los Angeles,5000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,2000
90005,Los Angeles,4100
90005,Los Angeles,2000
90005,Los Angeles,105
90005,Los Angeles,500
90005,Los Angeles,250
90005,Los Angeles,1000
90005,Los Angeles,2750
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,3900
90005,Los Angeles,2000
90005,Los Angeles,500
90005,Los Angeles,2500
90005,Los Angeles,4100
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,4000
90005,Los Angeles,500
90005,Los Angeles,1250
90005,Los Angeles,2000
90005,Los Angeles,1500
90005,Los Angeles,1250
90005,Los Angeles,500
90005,Los Angeles,4100
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,1250
90005,Los Angeles,2000
90005,Los Angeles,1500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,2500
90005,Los Angeles,4000
90005,Los Angeles,500
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,1000
90005,Los Angeles,1000
90005,Los Angeles,1500
90005,Los Angeles,500
90005,Los Angeles,4100
90005,Los Angeles,4100
90005,Los Angeles,500
90005,Los Angeles,4100
90005,Los Angeles,500
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,200
90005,Los Angeles,500
90005,Los Angeles,1000
90005,Los Angeles,1500
90005,Los Angeles,2000
90005,Los Angeles,100
90005,Los Angeles,100
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,1500
90005,Los Angeles,200
90005,Los Angeles,500
90005,Los Angeles,300
90005,Los Angeles,500
90005,Los Angeles,2500
90005,Los Angeles,500
90005,Los Angeles,2000
90005,Los Angeles,500
90005,Los Angeles,3000
90005,Los Angeles,3000
90005,Los Angeles,3000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,2100
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,100
90005,Los Angeles,500
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,300
90005,Los Angeles,150
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,5000
90005,Los Angeles,100
90005,Los Angeles,648.51
90005,Los Angeles,750
90005,Los Angeles,500
90005,Los Angeles,4100
90005,Los Angeles,1500
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,4100
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,2000
90005,Los Angeles,500
90005,Los Angeles,2000
90005,Los Angeles,500
90005,Los Angeles,1500
90005,Los Angeles,500
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,2000
90005,Los Angeles,200
90005,Los Angeles,4100
90005,Los Angeles,1000
90005,Los Angeles,200
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,100
90005,Los Angeles,1000
90005,Los Angeles,4100
90005,Los Angeles,4100
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,250
90005,Los Angeles,500
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,5000
90005,Los Angeles,1000
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,500
90005,Los Angeles,2500
90005,Los Angeles,3000
90005,Los Angeles,2750
90005,Los Angeles,500
90005,Los Angeles,1500
90005,Los Angeles,750
90005,Los Angeles,27200
90006,Los Angeles,300
90006,Los Angeles,150
90006,Los Angeles,300
90006,Los Angeles,700
90006,Los Angeles,300
90006,Los Angeles,700
90006,Los Angeles,1300
90006,Los Angeles,100
90006,Los Angeles,500
90006,Los Angeles,500
90006,Los Angeles,500
90006,Los Angeles,4100
90006,Los Angeles,1000
90006,Los Angeles,500
90006,Los Angeles,500
90006,Los Angeles,500
90006,Los Angeles,100
90006,Los Angeles,300
90006,Los Angeles,500
90006,Los Angeles,500
90006,Los Angeles,1900
90006,Los Angeles,200
90006,Los Angeles,250
90006,Los Angeles,1000
90006,Los Angeles,500
90006,Los Angeles,500
90006,Los Angeles,200
90006,Los Angeles,500
90006,Los Angeles,500
90006,Los Angeles,100
90006,Los Angeles,500
90006,Los Angeles,500
90006,Los Angeles,1000
90006,Los Angeles,2500
90006,Los Angeles,1000
90006,Los Angeles,500
90006,Los Angeles,2500
90006,Los Angeles,1000
90006,Los Angeles,500
90006,Los Angeles,500
90006,Los Angeles,100
90006,Los Angeles,250
90006,Los Angeles,25
90006,Los Angeles,8
90006,Los Angeles,25
90006,Los Angeles,50
90006,Los Angeles,100
90006,Los Angeles,100
90006,Los Angeles,100
90006,Los Angeles,100
90006,Los Angeles,-400
90006,Los Angeles,400
90006,Los Angeles,70
90006,Los Angeles,200
90006,Los Angeles,200
90006,Los Angeles,500
90006,Los Angeles,100
90006,Los Angeles,900
90006,Los Angeles,500
90006,Los Angeles,100
90006,Los Angeles,400
90006,Los Angeles,1000
90006,Los Angeles,150
90006,Los Angeles,100
90006,Los Angeles,500
90006,Los Angeles,2000
90006,Los Angeles,500
90006,Los Angeles,1000
90006,Los Angeles,1000
90006,Los Angeles,100
90006,Los Angeles,200
90006,Los Angeles,200
90006,Los Angeles,1500
90006,Los Angeles,100
90006,Los Angeles,1000
90006,Los Angeles,0
90006,Los Angeles,500
90006,Los Angeles,2000
90007,Los Angeles,65
90007,Los Angeles,35
90007,Los Angeles,100
90007,Los Angeles,100
90007,Los Angeles,100
90007,Los Angeles,200
90007,Los Angeles,1000
90007,Los Angeles,200
90007,Los Angeles,100
90007,Los Angeles,100
90007,Los Angeles,4100
90007,Los Angeles,100
90007,Los Angeles,4100
90007,Los Angeles,100
90007,Los Angeles,100
90007,Los Angeles,1000
90007,Los Angeles,40
90007,Los Angeles,750
90007,Los Angeles,750
90007,Los Angeles,100
90007,Los Angeles,500
90007,Los Angeles,500
90008,Los Angeles,500
90008,Los Angeles,250
90008,Los Angeles,250
90008,Los Angeles,250
90008,Los Angeles,100
90008,Los Angeles,200
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,250
90008,Los Angeles,100
90008,Los Angeles,250
90008,Los Angeles,200
90008,Los Angeles,198
90008,Los Angeles,1000
90008,Los Angeles,4100
90008,Los Angeles,500
90008,Los Angeles,4100
90008,Los Angeles,250
90008,Los Angeles,1000
90008,Los Angeles,1000
90008,Los Angeles,100
90008,Los Angeles,1000
90008,Los Angeles,4100
90008,Los Angeles,100
90008,Los Angeles,250
90008,Los Angeles,100
90008,Los Angeles,250
90008,Los Angeles,500
90008,Los Angeles,350
90008,Los Angeles,100
90008,Los Angeles,4100
90008,Los Angeles,250
90008,Los Angeles,250
